config,enhanced_annual,original_annual,improvement,enhanced_sharpe,enhanced_drawdown,rebalance_count,avg_turnover,regime_counts
R4-v2(基准),0.24800990341760887,0.23330421871614138,0.014705684701467492,1.3456207717062463,-0.19079460049742245,71,0.05236872219645394,"{'volatile': 32, 'bull': 25, 'bear': 14}"
R4-v3(激进),0.24896220242535283,0.23330421871614138,0.015657983709211454,1.3492628361280556,-0.1912615752747386,71,0.05238426841283656,"{'volatile': 32, 'bull': 25, 'bear': 14}"
R4-v3(超激进),0.2508073296397222,0.23330421871614138,0.01750311092358081,1.3550465045895175,-0.1919127324054993,71,0.0590383578887364,"{'volatile': 32, 'bull': 25, 'bear': 14}"
R5-v2(基准),0.25676259070956453,0.22626801268020347,0.030494578029361064,1.2717920603313135,-0.2311642300062351,71,0.05083604080147201,"{'volatile': 32, 'bull': 25, 'bear': 14}"
R5-v3(激进),0.25586924870964367,0.22626801268020347,0.029601236029440203,1.2688275311965607,-0.23191628360617436,71,0.048891028027442864,"{'volatile': 32, 'bull': 25, 'bear': 14}"
R5-v3(超激进),0.25952764872306666,0.22626801268020347,0.033259636042863194,1.2805030803347432,-0.23249019957460074,71,0.05531060376670467,"{'volatile': 32, 'bull': 25, 'bear': 14}"
