code,report_year,roe,roe_diluted,eps,bvps,net_profit,net_profit_yoy,revenue_yoy,ocfps,gross_margin,asset_liability_ratio,roe_std_3y,prev_eps,prev_revenue_yoy
600519,2024,36.02,36.99,68.64,185.56,86228000000.0,15.38,15.66,73.61,52.27,19.04,2.40303974166055,59.49,18.04
600549,2024,14.36,10.87,1.2094,10.02,1728000000.0,7.88,-10.66,1.95,7.69,46.44,0.3611401697709938,1.1351,-18.3
600566,2024,18.18,17.22,2.76,15.95,2532000000.0,-10.32,-16.96,2.36,31.64,20.22,2.060620187117353,3.08,7.32
600569,2024,-76.38,-123.56,-1.139,0.92,-3271000000.0,-110.46,-29.68,-0.45,-11.39,89.51,23.131517219778058,-0.541,7.43
600582,2024,11.12,10.73,0.633,5.9,2622000000.0,11.17,2.0,1.23,11.29,46.24,0.5295910371849833,0.57,9.16
600583,2024,8.47,8.23,0.49,5.94,2161000000.0,33.38,-2.59,0.87,7.3,41.38,0.9478513713775082,0.37,4.75
600590,2024,-33.24,-32.06,-1.16,3.62,-991000000.0,-1862.01,1.71,0.04,-21.6,65.04,16.52379563605839,0.07,-30.82
600598,2024,14.33,13.94,0.612,4.39,1087000000.0,2.21,5.83,0.84,20.35,15.39,0.2666249967442831,0.598,18.37
600600,2024,15.38,14.95,3.191,21.3,4345000000.0,1.81,-5.3,3.78,13.98,41.93,0.3691431519975235,3.139,5.49
600660,2024,22.72,21.01,2.87,13.68,7498000000.0,33.2,18.37,3.28,19.12,43.58,2.14760331532618,2.16,18.02
600683,2024,-122.07,-16.43,-1.86,0.57,-1055000000.0000001,-59.98,-86.69,-8.38,-101.92,87.8,49.206390506383066,-1.33,91.65
600690,2024,17.7,16.83,2.02,11.87,18741000000.0,12.92,4.29,2.83,6.85,59.19,0.4104469108991642,1.79,7.33
600694,2024,6.88,6.74,1.87,27.78,586000000.0,16.05,-5.2,3.44,9.25,49.37,0.29427877939124314,1.61,0.75
600704,2024,8.15,7.29,0.58,7.74,3079000000.0,-14.88,3.34,0.8,0.83,67.07,1.8558436236804958,0.68,0.63
600710,2024,15.81,15.34,0.88,5.73,1148000000.0,11.69,-4.75,3.95,2.78,73.56,0.1948218559493666,0.79,-12.87
600737,2024,14.44,14.88,0.8011,5.38,1713000000.0,-17.36,-1.86,1.23,5.37,41.48,5.0042271020497155,0.9694,24.53
600739,2024,0.72,0.72,0.14,19.15,210000000.0,-10.09,4.7,0.4,5.88,32.31,1.6762458053638793,0.153,-25.97
600741,2024,11.17,10.78,2.122,19.68,6691000000.0,-7.26,0.15,2.58,4.43,64.26,1.214248738932843,2.288,6.52
600742,2024,6.07,5.96,0.6847,11.5,509000000.0,-2.27,-5.44,2.09,3.82,56.59,0.6069230227595221,0.7013,3.98
600745,2024,-7.92,-8.24,-2.28,26.37,-2833000000.0,-339.83,20.23,3.61,-3.88,53.53,5.486166441352489,0.95,5.4
600795,2024,18.6,17.54,0.551,3.14,9831000000.0,75.28,-1.0,3.12,9.29,73.4,5.112953049744237,0.314,-7.02
600820,2024,9.4,8.2,0.9,9.74,2841000000.0,-3.54,-7.28,1.46,4.3,77.2,0.5692685365156468,0.94,2.62
600839,2024,4.87,4.8,0.1524,3.18,704000000.0,2.3,6.4,0.58,1.74,74.87,0.7196912918436317,0.149,5.38
600853,2024,13.15,11.18,0.41,3.15,413000000.0,23.59,4.95,2.6,2.34,82.4,0.8909919565667618,0.33,2.77
600873,2024,19.04,18.8,0.94,5.11,2740000000.0,-13.85,-9.69,1.62,10.93,38.79,7.158232246084847,1.06,-0.63
600894,2024,8.84,9.21,0.9373,10.08,811999999.9999999,6.56,-1.68,0.13,10.95,37.24,1.258049636893906,0.8857,4.54
600916,2024,11.03,10.99,0.49,4.43,818000000.0,-15.93,7.27,0.99,1.37,41.51,1.1463856244737196,0.58,19.61
600927,2024,4.56,4.49,0.4,8.8,575000000.0,-21.07,-8.76,1.47,2.65,81.5,0.6126626768096418,0.5,-31.5
600938,2024,19.36,18.45,2.9,15.73,137936000000.0,11.38,0.94,4.65,32.81,29.05,3.086317474848554,2.6,-1.33
600941,2024,10.36,10.2,6.45,63.05,138373000000.0,5.01,3.12,14.67,13.31,34.33,0.1144066820115365,6.16,7.69
600959,2024,1.63,1.62,0.07,4.5,365000000.0,7.46,5.04,0.22,5.4,37.5,0.05887840577551893,0.07,1.22
600968,2024,14.11,13.46,0.3597,2.67,3656000000.0,18.66,6.51,0.55,7.15,43.71,1.2579701462629742,0.3031,3.19
600970,2024,14.96,14.13,1.14,7.99,2983000000.0,2.31,0.72,0.87,6.99,61.28,0.5609713797413275,1.12,6.94
600989,2024,15.55,14.74,0.87,5.86,6338000000.0,12.16,13.21,1.21,19.22,51.98,1.8562746444304934,0.77,2.48
600999,2024,8.82,7.98,1.13,13.24,10386000000.0,18.51,5.4,6.29,49.73,81.94,0.5378351668184842,0.94,3.13
601089,2024,14.09,13.79,1.04,7.38,488999999.99999994,-0.02,3.17,1.44,14.28,26.17,2.7537287851606274,1.02,3.07
601107,2024,9.1,7.93,0.4771,5.36,1459000000.0,22.91,-11.07,1.21,14.93,68.08,1.9462157011892476,0.3881,10.12
601117,2024,9.5,9.13,0.93,10.19,5688000000.0,4.82,4.14,1.43,3.36,70.48,0.5107075701634181,0.89,13.1
601126,2024,16.62,15.64,0.87,5.49,716000000.0,14.09,20.86,1.5,10.3,58.54,1.140555420252198,0.75,13.24
601138,2024,15.85,15.2,1.17,7.69,23216000000.0,10.34,27.88,1.2,3.82,51.77,0.22171052197754565,1.06,-6.94
601139,2024,9.68,9.36,0.51,5.33,1457000000.0,1.19,-8.34,1.29,5.42,59.39,0.3796782263385086,0.5,2.88
601163,2024,8.38,8.2,1.38,16.8,1103000000.0,-21.03,-2.55,1.23,10.86,30.27,2.0203025076018246,1.75,13.03
601186,2024,7.69,6.77,1.46,19.45,22215000000.0,-14.87,-6.22,-2.31,2.54,77.31,1.386610575788635,1.73,3.8
601326,2024,8.29,8.1,0.28,3.46,1565000000.0,2.2,-2.69,0.43,22.94,27.29,0.3007028803025044,0.27,1.96
601339,2024,4.25,4.27,0.27,6.4,409999999.99999994,-18.62,14.86,0.92,5.17,33.29,5.547005198002492,0.34,-1.08
601528,2024,10.83,10.13,0.98,9.67,1922000000.0,11.27,15.29,-0.31,44.33,91.28,0.0740870359029763,0.88,7.9
601598,2024,10.05,9.9,0.5396,5.42,3918000000.0,-7.05,3.79,0.56,3.96,45.54,0.8179649544244948,0.5817,-6.94
601601,2024,16.6,15.43,4.67,30.29,44960000000.0,64.95,24.74,16.05,11.49,88.77,2.6042699979499484,2.83,-2.47
601668,2024,10.37,9.99,1.11,10.89,46187000000.0,-14.88,-3.46,0.38,2.87,75.81,1.5642321510000434,1.31,10.24
601686,2024,6.54,6.28,0.3,4.58,425000000.0,-25.46,-10.01,0.97,0.88,69.81,1.669817022577291,0.4,-9.56
601717,2024,18.34,17.92,2.212,12.29,3934000000.0000005,20.16,1.73,2.21,11.4,53.17,1.0627114168745695,1.853,13.67
601728,2024,7.34,7.3,0.36,4.94,33012000000.0,8.43,3.1,1.59,6.3,47.32,0.3805551500403353,0.33,6.92
601778,2024,2.07,2.04,0.09,4.34,324000000.0,-15.39,9.25,0.29,6.96,62.45,0.35612107803698206,0.11,36.72
601801,2024,6.08,6.15,0.36,5.86,705000000.0,-24.67,-4.4,0.61,6.67,39.74,0.9098107251266913,0.47,-3.79
601808,2024,7.36,7.16,0.6574,9.18,3137000000.0,4.11,9.51,2.31,7.04,46.44,0.6209848808322329,0.6315,23.7
601838,2024,17.81,14.98,3.28,19.15,12858000000.000002,10.17,5.9,-22.6,55.92,93.13,0.6847383928674277,3.01,7.22
601857,2024,11.1,10.87,0.9,8.28,164676000000.0,2.02,-2.48,2.22,6.25,37.89,0.12472191289246506,0.88,-7.04
601872,2024,13.21,12.75,0.63,4.92,5107000000.0,5.59,-0.32,1.04,20.19,42.16,1.8291224368228844,0.6,-12.88
601900,2024,9.99,9.79,0.92,9.23,810000000.0,-36.91,-2.07,1.47,10.25,48.0,2.8477047287635395,1.46,3.35
601919,2024,22.6,20.92,3.08,14.7,49100000000.0,105.78,33.29,4.34,23.69,42.7,20.44966503393149,1.48,-55.14
601958,2024,18.46,17.53,0.92,5.27,2983000000.0,-3.76,17.68,1.15,24.42,12.28,4.632222888515717,0.96,20.99
603027,2024,14.29,14.09,0.5015,3.55,513999999.99999994,-3.07,-4.16,0.33,16.73,18.57,1.4173449356690369,0.5352,31.62
603186,2024,-6.48,-6.7,-0.69,9.89,-97430300.0,19.16,14.97,1.19,-2.52,75.51,4.345948304647291,-0.85,2.31
603190,2024,4.32,4.29,0.75,17.52,90100700.0,-39.97,1.33,-1.66,5.2,42.49,3.3314294562878297,1.31,26.13
603236,2024,15.28,14.57,2.23,15.43,588000000.0,548.49,34.14,2.77,3.11,69.04,6.793393849910366,0.34,-2.59
603296,2024,13.56,12.98,2.89,22.19,2926000000.0,8.1,28.76,1.35,2.65,69.95,4.0758393818533465,2.84,-7.89
603299,2024,13.26,12.7,0.9834,7.74,769000000.0,4.15,-5.95,1.64,14.59,34.23,1.646470973526914,0.9536,-4.8
603367,2024,8.66,8.55,1.12,13.14,509000000.0,-2.38,-10.77,1.26,12.93,20.74,1.142696615710205,1.15,9.75
603368,2024,11.62,11.21,2.21,18.72,855000000.0000001,0.62,1.78,2.1,4.1,62.68,0.7582582380400199,2.35,9.23
603444,2024,19.79,19.28,13.15,68.05,944999999.9999999,-16.02,-11.69,17.33,31.9,18.63,5.1849675880268435,15.63,-19.02
603489,2024,2.35,2.41,0.27,11.26,63845800.0,-50.06,-17.66,0.71,4.71,16.27,7.148656439421949,0.54,-42.18
603588,2024,5.16,5.33,0.32,5.94,482000000.0,-4.52,37.04,0.5,3.74,63.71,2.3297543981191566,0.332,20.58
603611,2024,16.56,15.71,1.79,11.41,462000000.0,0.91,0.23,2.97,6.66,66.27,0.7898663740715203,1.78,3.89
603629,2024,1.5,1.48,0.1,6.38,24616400.0,-38.77,18.72,0.29,1.18,71.98,1.077167066377769,0.16,-6.53
603658,2024,13.92,13.86,2.07,14.83,1194000000.0,-1.89,0.62,2.25,26.82,26.81,0.6786424357167445,2.1,0.05
603699,2024,28.66,26.73,1.52,5.62,1156000000.0,60.1,12.5,1.45,18.69,49.31,5.569945142359024,0.96,36.59
603816,2024,14.72,14.39,1.74,11.98,1417000000.0,-29.38,-3.81,3.26,7.83,42.33,3.3109615924481313,2.44,6.67
603897,2024,8.73,9.23,1.14,12.4,236000000.0,9.05,17.21,-0.02,1.82,60.61,1.5793951022112516,1.05,10.5
603899,2024,16.64,15.67,1.5162,9.64,1396000000.0,-8.58,3.76,2.48,6.0,43.11,1.807004888390362,1.6577,16.78
603929,2024,40.41,34.77,2.98,8.57,636000000.0,121.66,68.09,7.51,11.79,54.2,11.137477272704082,1.34,5.33
605060,2024,8.28,8.06,0.78,9.65,187000000.0,-25.41,-9.32,1.23,17.07,18.31,1.86870721801642,1.05,8.09
605088,2024,13.57,12.29,1.74,12.96,298000000.0,4.83,26.41,1.73,7.26,57.28,0.6362564123230681,1.73,8.12
605099,2024,19.62,18.53,1.28,6.87,511000000.00000006,18.56,19.92,1.16,17.32,16.58,1.0983927652104541,1.08,-0.38
605266,2024,4.53,4.58,0.83,17.86,128000000.0,-69.08,2.23,3.25,1.38,73.83,5.766321762325328,2.69,20.84
605287,2024,-16.89,-18.63,-2.07,10.99,-287000000.0,-283.52,-32.26,3.25,-6.79,85.35,13.017609440890272,1.12,8.25
605377,2024,11.57,11.83,1.01,8.53,469000000.00000006,-17.18,-5.21,1.11,12.44,34.96,1.435463533342298,1.23,15.7
605507,2024,10.76,9.71,1.4,14.4,782000000.0,27.61,10.12,1.26,13.25,25.31,2.1393612753966234,1.1,-6.49
605599,2024,18.73,18.05,0.92,5.12,719000000.0,1.73,22.24,0.49,3.59,44.19,2.475134115333731,0.91,50.61
688062,2024,-50.28,-66.54,-2.61,3.93,-1044000000.0,0.9,56.28,-2.39,-523.85,63.61,9.969727512157325,-2.64,361.03
688160,2024,6.46,6.32,0.58,9.21,48891600.0,-19.43,8.09,0.96,8.93,24.05,2.8955252833754823,0.72,-6.09
688183,2024,8.24,7.77,0.4,5.14,332000000.0,1428.23,43.19,0.42,7.08,44.4,4.099140831388397,-0.03,-7.4
688236,2024,4.37,4.43,0.33,7.35,125000000.0,-55.01,-33.32,-0.005,15.47,18.59,3.171932463902022,0.72,0.58
688257,2024,8.4,8.22,1.0129,12.16,181000000.0,10.89,20.17,1.11,11.45,38.82,0.4823092599382915,0.9019,30.89
688298,2024,-7.54,-7.96,-2.69,32.96,-529000000.0,-33.06,0.95,-1.73,-68.71,16.1,14.812064902189253,-1.97,-90.65
688302,2024,-15.59,-16.73,-2.01,12.04,-199000000.0,32.18,0.0,-1.89,-54382.77,12.44,2.7747912834421737,-2.97,-100.0
688312,2024,6.99,6.76,0.66,9.84,96306100.0,40.46,52.2,0.26,18.85,16.53,0.7533038342306951,0.48,2.84
688316,2024,-71.89,-109.92,-2.0,1.82,-95757700.0,43.7,-18.95,-0.72,-35.24,84.87,7.936397167480972,-3.57,10.07
688333,2024,2.18,2.17,0.3848,17.73,104000000.0,-5.26,15.02,1.27,7.88,33.87,1.9429416414864915,0.6895,25.53
688369,2024,-19.33,-22.48,-2.05,9.1,-236000000.0,-371.0,-18.97,-0.86,-28.5,33.93,10.644237877837943,-0.44,1.18
688372,2024,5.06,4.9,1.13,23.01,128000000.0,8.67,46.21,5.46,11.91,46.76,7.003058062176995,1.04,0.48
688443,2024,-32.65,-37.5,-2.17,5.8,-797000000.0,0.5,2384.1,-1.57,-2649.19,32.41,138.37781549880827,-2.5,154.92
688499,2024,-51.89,-46.01,-8.12,13.45,-1044000000.0,-455.34,-50.3,0.41,-42.19,74.2,27.101568630288217,-1.7,18.81
688508,2024,4.52,4.47,0.87,18.98,111000000.00000001,87.18,23.61,0.31,11.31,15.69,1.1498115787670025,0.5,8.45
688595,2024,-21.14,-22.89,-1.23,4.82,-173000000.0,-20.51,62.22,-0.68,-24.52,55.36,8.931988704774668,-1.01,-29.91
688677,2024,10.45,10.38,1.12,10.81,135000000.0,-7.11,-5.9,0.93,30.2,10.59,2.32709165173088,1.2,-1.31
