code,report_year,roe,roe_diluted,eps,bvps,net_profit,net_profit_yoy,revenue_yoy,ocfps,gross_margin,asset_liability_ratio,roe_std_3y,prev_eps,prev_revenue_yoy
002240,2024,-4.97,-5.17,-0.69,13.14,-622000000.0,-188.51,-42.38,1.44,-13.84,43.31,32.52848222028743,0.77,-33.96
002246,2024,-0.99,-1.0,-0.05,5.15,-28305900.0,-150.99,-9.83,0.14,-1.82,34.34,1.804124903288757,0.1,-15.61
002293,2024,10.18,10.34,0.5209,5.04,433000000.0,-24.39,-14.22,1.02,9.44,31.8,1.6327141683575717,0.6837,0.03
002318,2024,19.85,18.91,1.55,8.06,1490000000.0,0.12,27.42,0.85,13.92,42.7,1.3591418861423792,1.53,31.07
002380,2024,12.02,11.3,1.05,9.28,252000000.0,56.64,19.55,0.92,15.46,40.58,15.4950235738948,0.68,21.9
002386,2024,-5.93,-6.15,-0.3531,5.74,-459999999.99999994,-1249.93,-27.22,0.18,-3.83,61.18,6.314139336089722,0.0325,-9.7
002478,2024,11.76,11.25,0.7,6.26,634000000.0,-19.0,-14.48,0.95,11.69,29.44,2.318030773451179,0.88,7.03
002507,2024,9.44,9.19,0.69,7.54,799000000.0,-3.29,-2.56,0.71,33.49,7.41,1.0947247244043694,0.72,-3.86
002545,2024,6.48,6.34,0.4536,7.15,564000000.0,-10.97,4.79,0.92,13.43,34.36,1.5218482914608213,0.5094,10.74
002563,2024,9.8,9.61,0.42,4.39,1137000000.0,1.42,7.06,0.47,7.76,38.08,1.9968642083693793,0.42,2.47
002612,2024,7.86,9.23,0.5813,6.3,256999999.99999997,1.38,-0.24,1.28,5.19,57.42,3.325470726913042,0.5734,24.41
002690,2024,24.31,23.28,0.7372,3.16,649000000.0,-12.84,-4.73,0.99,28.09,16.47,2.2572155905500533,0.8459,14.55
002758,2024,8.16,8.01,0.74,9.1,380000000.0,-0.22,2.53,0.18,1.82,59.56,3.472005504347915,0.74,-2.09
002768,2024,14.35,13.61,2.52,18.32,676000000.0,45.18,10.21,2.04,3.69,61.68,2.7233843324478135,1.72,30.08
002788,2024,11.29,10.93,0.89,8.14,346000000.0,-4.92,3.15,1.49,1.7,74.74,0.8240280469876148,0.94,1.97
002867,2024,15.72,15.89,0.93,5.8,1010000000.0,-23.25,-14.73,1.69,7.21,18.95,2.1930850923350467,1.21,46.52
002967,2024,9.58,10.56,0.61,5.72,352000000.0,76.59,11.01,1.47,11.21,47.86,1.929841674565271,0.35,10.94
002975,2024,1.32,1.23,0.16,12.08,22254200.0,138.89,36.17,-1.43,1.53,33.91,6.571576844427997,-0.41,-25.6
002993,2024,9.44,9.45,1.68,17.81,465000000.00000006,5.43,24.14,1.8,7.32,44.16,1.8950461735799482,1.59,15.84
300138,2024,2.75,3.02,0.1818,6.44,94049599.99999999,-80.39,1.79,-0.46,1.11,65.04,5.516792546398677,0.9017,9.14
300146,2024,5.81,5.91,0.39,6.53,653000000.0,-62.62,-27.3,0.41,9.47,22.29,4.121458749304938,1.03,19.66
300193,2024,11.36,11.41,0.54,4.53,254999999.99999997,25.46,9.9,0.48,20.28,26.14,1.3044624265275802,0.42,-6.97
300308,2024,31.23,27.03,4.72,17.07,5171000000.0,137.93,122.64,2.82,22.51,29.7,8.776325477606724,2.0,11.16
300349,2024,8.3,8.12,0.87,10.6,360000000.0,-11.88,-3.43,0.87,11.98,39.05,1.1544791995623926,1.0,15.91
300357,2024,13.89,13.5,0.607,4.5,318000000.0,2.46,9.1,0.5,32.89,9.24,2.094315056421921,0.5924,-5.34
300358,2024,-10.17,-10.56,-0.7668,7.26,-453000000.0,-242.76,-14.94,0.21,-7.9,67.56,10.3881674140448,0.5466,6.33
300373,2024,11.78,11.44,1.85,16.13,1002000000.0,8.5,11.53,2.56,16.58,35.8,3.2457288173160057,1.74,0.12
300394,2024,36.74,33.76,2.4257,7.18,1344000000.0,84.07,67.74,2.28,41.3,15.85,8.372160215061982,1.3201,62.04
300407,2024,5.25,5.23,0.3,5.64,93892400.0,-2.51,10.57,0.79,3.76,43.56,0.2747524137999316,0.31,4.55
300438,2024,-4.82,-4.96,-0.5,10.11,-252000000.0,-685.72,14.83,-0.42,-4.06,68.87,10.051740590011708,0.09,-23.54
300442,2024,19.5,17.96,1.04,5.79,1789999999.9999998,1.62,0.32,1.22,41.67,63.11,8.472958292250837,1.03,60.27
300458,2024,5.63,5.57,0.26,4.73,167000000.0,626.15,36.76,0.31,7.29,15.58,2.7950790090204367,0.04,10.49
300533,2024,-17.04,-19.5,-1.06,5.41,-247000000.00000003,-190.47,0.17,-0.68,-7.99,47.42,13.895482079518587,1.19,36.01
300552,2024,-20.19,-20.19,-1.8116,8.97,-386000000.0,-0.15,2.33,-0.98,-41.42,34.34,8.316902468267058,-1.8089,4.11
300556,2024,-47.4,-61.81,-3.0,4.65,-364000000.0,-1679.87,-58.91,-1.17,-62.63,67.63,24.26583377691541,0.19,10.82
300619,2024,-5.01,-5.19,-0.603,12.4,-80714500.0,-186.13,-33.0,-3.44,-6.03,60.54,6.415922900617391,0.8069,23.79
300628,2024,30.68,29.59,2.0951,7.08,2648000000.0,31.72,29.28,1.99,47.1,8.46,2.429394071688567,1.5906,-9.61
300681,2024,3.74,3.46,0.28,8.02,71002100.0,-13.79,23.77,1.17,2.92,60.81,0.968744892459654,0.33,-2.12
