code,weight,composite_score,percentile,multiplier,original_weight,adjusted_weight,weight_change
000027,0.002261727488276871,40.8336427452474,0.21982758620689655,0.75,0.002261727488276871,0.001280089890901603,-0.43402116411608127
000088,0.00481607338226572,63.39765888463617,0.8362068965517241,1.6,0.00481607338226572,0.005815030627042729,0.20742151655236007
000338,0.008032347519327668,60.680831812685796,0.7543103448275862,1.3,0.008032347519327668,0.007879973743900539,-0.01897001780120733
000408,0.0011638350167307277,45.942570334918045,0.3017241379310345,0.9,0.0011638350167307277,0.000790447185516238,-0.32082539693929757
000422,0.000793802318164075,60.953815741156255,0.7758620689655172,1.3,0.000793802318164075,0.0007787438740578628,-0.01897001780120733
000423,0.005085746852555524,56.96492879447997,0.625,1.1,0.005085746852555524,0.004221690122040864,-0.16989770737025234
000498,0.0004615332676727786,59.06924998928189,0.6939655172413793,1.1,0.0004615332676727786,0.0003831198236200725,-0.16989770737025245
000581,0.007031424118312509,54.66905761128827,0.5387931034482759,1.0,0.007031424118312509,0.005306182982784831,-0.24536155215477495
000598,0.002564372197832087,52.26703473935402,0.45689655172413796,1.0,0.002564372197832087,0.0019351738550694546,-0.24536155215477495
000651,0.007031424118312509,67.46328568280803,0.9224137931034483,2.0,0.007031424118312509,0.010612365965569663,0.5092768956904501
000672,0.004689273925621922,47.36350278376187,0.3232758620689655,0.9,0.004689273925621922,0.003184835757077171,-0.32082539693929746
000690,0.009385179457792986,53.55569964990322,0.5043103448275862,1.0,0.009385179457792986,0.00708241725877779,-0.24536155215477495
000719,0.015047411452762442,51.885194316945736,0.4482758620689655,1.0,0.015047411452762442,0.011355355222801112,-0.24536155215477495
000726,0.007031424118312509,50.06959425815577,0.38362068965517243,0.9,0.007031424118312509,0.004775564684506348,-0.32082539693929757
000800,0.0017619118583683765,36.847373848314355,0.1896551724137931,0.5,0.0017619118583683765,0.0006648032150196037,-0.6226807760773876
000880,0.001831100030810548,42.5744732182236,0.2543103448275862,0.75,0.001831100030810548,0.0010363638638251616,-0.43402116411608127
000913,0.00573800818227423,73.4850093863458,0.9827586206896551,2.5,0.00573800818227423,0.010825303970986563,0.8865961196130623
000915,0.014877384205180524,60.04897524837333,0.7370689655172413,1.3,0.014877384205180524,0.014595159961972847,-0.01897001780120744
000921,0.004871256290473996,69.49310451426447,0.9439655172413793,2.0,0.004871256290473996,0.007352074572199169,0.5092768956904501
000923,0.002321912017604775,38.850699743755435,0.2025862068965517,0.75,0.002321912017604775,0.0013141530607488315,-0.43402116411608127
000933,0.007031424118312509,59.39190247563537,0.7068965517241379,1.3,0.007031424118312509,0.006898037877620281,-0.01897001780120744
000951,0.004167402639504261,61.906154656151486,0.7974137931034483,1.3,0.004167402639504261,0.004088346937248066,-0.01897001780120744
000990,0.0005082758204299942,36.394881888299714,0.1810344827586207,0.5,0.0005082758204299942,0.0003773192239226125,-0.25764868452053113
001218,0.0024555757529056183,49.173001664927796,0.3620689655172414,0.9,0.0024555757529056183,0.001667764687265159,-0.32082539693929746
001872,0.007540644713770051,65.22911726754164,0.875,1.6,0.007540644713770051,0.009104736676082772,0.20742151655236007
001965,0.0040710962129613315,57.9851068401574,0.6637931034482759,1.1,0.0040710962129613315,0.0033794262998954844,-0.16989770737025245
002004,0.00047497756905831936,44.35389846743294,0.27155172413793105,0.75,0.00047497756905831936,0.0003773192239226125,-0.20560622542517593
002006,0.001831100030810548,44.91730828606763,0.28448275862068967,0.75,0.001831100030810548,0.0010363638638251616,-0.43402116411608127
002027,0.001831100030810548,64.98429626825322,0.8706896551724138,1.6,0.001831100030810548,0.002210909576160345,0.20742151655236007
002029,0.0003875927218090226,35.5483318539536,0.1724137931034483,0.5,0.0003875927218090226,0.0003773192239226125,-0.02650591022055404
002056,0.004130060428464968,60.50624417038106,0.7456896551724138,1.3,0.004130060428464968,0.004051713108616925,-0.01897001780120755
002061,0.007031424118312509,57.71758575223764,0.6508620689655172,1.1,0.007031424118312509,0.005836801281063315,-0.16989770737025245
002074,0.0011719040197187506,43.25488459519376,0.25862068965517243,0.75,0.0011719040197187506,0.0006632728728481034,-0.43402116411608127
002091,0.007031424118312509,50.89554249682368,0.40948275862068967,1.0,0.007031424118312509,0.005306182982784831,-0.24536155215477495
002110,0.0017350475238765782,32.222001915708816,0.08620689655172414,0.3,0.0017350475238765782,0.00039280007110677656,-0.7736084656464325
002128,0.002817907698234967,60.626025151207315,0.75,1.3,0.002817907698234967,0.00276445193903729,-0.01897001780120744
002142,0.00839955185386135,62.500067151533685,0.8017241379310345,1.6,0.00839955185386135,0.010141799637749457,0.20742151655236007
002155,0.001831100030810548,49.1841509798844,0.36637931034482757,0.9,0.001831100030810548,0.001243636636590194,-0.32082539693929746
002171,0.0011719040197187506,34.49564176245211,0.14655172413793102,0.5,0.0011719040197187506,0.00044218191523206894,-0.6226807760773876
002202,0.0036116778157267706,35.520410229541206,0.16810344827586207,0.5,0.0036116778157267706,0.0013627554704885414,-0.6226807760773875
002204,0.007031424118312509,43.98453796684932,0.2629310344827586,0.75,0.007031424118312509,0.003979637237088623,-0.43402116411608127
002215,0.0032491420384929736,67.7925,0.9267241379310345,2.0,0.0032491420384929736,0.004903855009514016,0.5092768956904501
002237,0.0008450295092069612,40.13759598559449,0.21551724137931033,0.75,0.0008450295092069612,0.0004782688179085151,-0.43402116411608116
002240,0.0011719040197187506,29.209070881226054,0.02586206896551724,0.3,0.0011719040197187506,0.0003773192239226125,-0.6780289020485085
002246,0.0011719040197187506,30.506484674329503,0.04310344827586207,0.3,0.0011719040197187506,0.0003773192239226125,-0.6780289020485085
002293,0.0011719040197187506,57.32755016887003,0.6379310344827587,1.1,0.0011719040197187506,0.0009728002135105517,-0.16989770737025245
002318,0.003197753422527966,63.90504441428254,0.8448275862068966,1.6,0.003197753422527966,0.0038610362869892167,0.20742151655236007
002380,0.0002036156603698504,57.48207946367317,0.6422413793103449,1.1,0.0002036156603698504,0.0003773192239226125,0.8530953033634272
002386,0.0003731861874470355,32.40303639846743,0.09051724137931035,0.3,0.0003731861874470355,0.0003773192239226125,0.011074998525135715
002478,0.0025348626099729247,57.55893847882863,0.646551724137931,1.1,0.0025348626099729247,0.00210419526403995,-0.16989770737025256
002507,0.003198303410293339,57.00163759989758,0.6293103448275862,1.1,0.003198303410293339,0.002654918993410041,-0.16989770737025234
002545,0.001831100030810548,45.47481445078897,0.29310344827586204,0.75,0.001831100030810548,0.0010363638638251616,-0.43402116411608127
002563,0.018138331148358,64.06276819923372,0.853448275862069,1.6,0.018138331148358,0.021900611302879326,0.20742151655236007
002612,0.0011719040197187506,51.649387169485586,0.4396551724137931,1.0,0.0011719040197187506,0.0008843638304641379,-0.24536155215477506
002690,0.006691159517488232,65.37728922996546,0.8793103448275862,1.6,0.006691159517488232,0.008079049972099399,0.20742151655236007
002758,0.001831100030810548,53.589109195402294,0.5086206896551724,1.0,0.001831100030810548,0.0013818184851002156,-0.24536155215477495
002768,0.001831100030810548,44.47147072156644,0.27586206896551724,0.75,0.001831100030810548,0.0010363638638251616,-0.43402116411608127
002788,0.003249142038713026,44.04401779100148,0.2672413793103448,0.75,0.003249142038713026,0.0018389456286923007,-0.43402116411608127
002867,0.014528535195195145,63.97704346673367,0.8491379310344828,1.6,0.014528535195195145,0.01754206599866686,0.20742151655236007
002967,0.001831100030810548,59.64054888306422,0.7241379310344828,1.3,0.001831100030810548,0.0017963640306302802,-0.01897001780120755
002975,0.0011719040197187506,33.43663793103448,0.125,0.5,0.0011719040197187506,0.00044218191523206894,-0.6226807760773876
002993,0.007031424118312509,59.487417869925906,0.7112068965517241,1.3,0.007031424118312509,0.006898037877620281,-0.01897001780120744
300138,0.00026104176420576323,32.21328544061303,0.08189655172413793,0.3,0.00026104176420576323,0.0003773192239226125,0.44543623151885714
300146,0.0029324870361180032,54.07300766283525,0.5301724137931034,1.0,0.0029324870361180032,0.002212967465262334,-0.24536155215477506
300193,0.002196866029429894,72.12076403336658,0.9698275862068966,2.5,0.002196866029429894,0.004144598926432194,0.8865961196130627
300308,0.001831100030810548,50.82436360006402,0.4051724137931034,1.0,0.001831100030810548,0.0013818184851002156,-0.24536155215477495
300349,0.010164114007185514,54.445785478759994,0.5344827586206896,1.0,0.010164114007185514,0.0076702312181043866,-0.24536155215477506
