config,enhanced_annual,original_annual,improvement,enhanced_sharpe,enhanced_drawdown,rebalance_count,avg_turnover,regime_counts
R4-静态(baseline),0.23330421871614138,0.23330421871614138,0.0,1.2955033435913836,-0.1859591412775251,0,0.0,{}
R4-月度无择时,0.24455808911021149,0.23330421871614138,0.011253870394070109,1.3510213590746298,-0.18341808452532307,71,0.007479558102122169,{'volatile': 71}
R4-月度+择时,0.2463610533917604,0.23330421871614138,0.013056834675619022,1.3519941511531277,-0.1861046525553728,71,0.032831700172770165,"{'volatile': 35, 'bull': 24, 'bear': 12}"
R4-季度+择时,0.24567486467345567,0.23330421871614138,0.012370645957314297,1.35239032341978,-0.18843651298941402,23,0.04646569967853771,"{'volatile': 12, 'bull': 8, 'bear': 3}"
R5-静态(baseline),0.22626801268020347,0.22626801268020347,0.0,1.1644552240812291,-0.22835353224064414,0,0.0,{}
R5-月度无择时,0.24433073343393175,0.22626801268020347,0.01806272075372828,1.2452593402170244,-0.22485201089266085,71,0.02246926398078228,{'volatile': 71}
R5-月度+择时,0.24763154533135623,0.22626801268020347,0.02136353265115276,1.2541518288856708,-0.22475223622347834,71,0.03728459626129024,"{'volatile': 35, 'bull': 24, 'bear': 12}"
R5-季度+择时,0.24691175164836077,0.22626801268020347,0.0206437389681573,1.2525987053546153,-0.22703710839830715,23,0.05377388109460635,"{'volatile': 12, 'bull': 8, 'bear': 3}"
