code,weight,composite_score,percentile,multiplier,adjusted_weight,weight_change
000027,0.0008554524397339103,40.11654885748376,0.2025862068965517,0.7025862068965517,0.0006028457127660824,-0.2952902057844403
000088,0.001821581842265122,41.792341130220855,0.24568965517241378,0.7456896551724138,0.0013624403422161694,-0.2520564760779642
000338,0.003038072145214637,60.927390147432504,0.8362068965517241,1.3362068965517242,0.004071762888604488,0.34024562090075783
000408,0.0004401969333930053,43.33740570232198,0.29310344827586204,0.7931034482758621,0.00035017693634116417,-0.20449937340084057
000422,0.0030023958821728362,63.390238765848274,0.8879310344827587,1.3879310344827587,0.0041797136597426475,0.3921260965485289
000423,0.0019235803497275232,63.90347736127877,0.8922413793103449,1.3922413793103448,0.0026861827589545117,0.3964494695191765
000498,0.001745655751612521,49.164763924593295,0.4956896551724138,0.9956896551724138,0.001743384926185311,-0.0013008437804030715
000581,0.004432488697240253,44.37667011494253,0.3146551724137931,0.8146551724137931,0.0036218640451800613,-0.18288250854760246
000598,0.0009699216481172117,50.95126299592139,0.5905172413793104,1.0905172413793105,0.0010609132583903308,0.09381336157384434
000651,0.004432488697240253,56.4642532814238,0.728448275862069,1.228448275862069,0.005461541020509616,0.23216129663456764
000672,0.0017736225257227215,42.643281609195405,0.27155172413793105,0.771551724137931,0.0013725776721236018,-0.22611623825407867
000690,0.003549753321796943,35.38350459770115,0.14224137931034483,0.6422413793103449,0.0022866892270245946,-0.35581742737350686
000719,0.005691377456244268,40.70074551724137,0.21551724137931033,0.7155172413793103,0.004084587278373212,-0.28232008687249754
000726,0.004432488697240253,45.9368908045977,0.3577586206896552,0.8577586206896552,0.0038134970634435567,-0.13964877884112636
000800,0.006664073393677481,32.389501379310346,0.11206896551724138,0.6120689655172413,0.004091201019418465,-0.38608103816804007
000880,0.0069257635894378845,41.5867439747868,0.23706896551724138,0.7370689655172413,0.005120194706727756,-0.26070322201925955
000913,0.0021702849367055263,69.54847634408603,0.9741379310344828,1.4741379310344827,0.003208969322013062,0.4785935559614811
000915,0.005627068106634669,45.73641954022988,0.34913793103448276,0.8491379310344828,0.004792599088774853,-0.1482955247824217
000921,0.0018424536553828224,61.998704523544674,0.8706896551724138,1.3706896551724137,0.002533065358006245,0.3748326046659385
000923,0.0008782160143532106,37.6174632183908,0.17672413793103448,0.6767241379310345,0.0005961062944785928,-0.321230443608326
000933,0.004432488697240253,50.56871011494253,0.5732758620689655,1.0732758620689655,0.004771662154761033,0.0765198696912539
000951,0.0015762353218043191,60.041250760103814,0.8146551724137931,1.3146551724137931,0.0020784692216289915,0.31862875604751983
000990,0.0019224499542864232,43.021940934371514,0.2801724137931034,0.7801724137931034,0.001504375738731021,-0.21746949231278345
001218,0.009287716047414513,46.12656896551724,0.36637931034482757,0.8663793103448276,0.008071006364206827,-0.13100203289983126
001872,0.0028520955557189346,59.30492180200222,0.7974137931034483,1.2974137931034484,0.003711532523425121,0.3013352641649294
001965,0.0015398093739502187,49.77940114942528,0.5129310344827587,1.0129310344827587,0.0015644350034122539,0.015992648102187257
002004,0.0017965060882707217,33.95227011494252,0.11637931034482758,0.6163793103448276,0.0011106761184995907,-0.3817576651973923
002006,0.0069257635894378845,50.47715747126436,0.5603448275862069,1.0603448275862069,0.0073658941395030875,0.0635497507793108
002027,0.0069257635894378845,50.45877660363366,0.5560344827586207,1.0560344827586206,0.007335951480399417,0.059226377808663244
002029,0.0014659906695800179,39.69556674082313,0.19827586206896552,0.6982758620689655,0.001026759958645581,-0.299613578755088
002056,0.0015621113896753188,47.7453,0.44396551724137934,0.9439655172413793,0.0014790362448786065,-0.05318131942817428
002061,0.004432488697240253,48.49738735632184,0.47413793103448276,0.9741379310344828,0.004330906212754993,-0.022917708633641287
002074,0.004432488697240253,47.0013332962551,0.43103448275862066,0.9310344827586207,0.004139273194491498,-0.06615143834011727
002091,0.004432488697240253,41.32790505747126,0.22413793103448276,0.7241379310344828,0.0032194347068267206,-0.2736733409312023
002110,0.0065624645101936795,28.97252873563218,0.07327586206896551,0.5732758620689655,0.003773473563999336,-0.4249913949038685
002128,0.0010658162965675128,60.25729644048943,0.8189655172413793,1.3189655172413794,0.0014100239386862497,0.3229521290181676
002142,0.0031769597191977387,55.48606536892844,0.7025862068965517,1.2025862068965516,0.003832115716289583,0.20622105881068187
002155,0.0069257635894378845,68.53623008527994,0.9568965517241379,1.456896551724138,0.010120618777040827,0.46130006407889046
002171,0.004432488697240253,36.8639367816092,0.16379310344827586,0.6637931034482758,0.0029511484812578272,-0.33420056252026886
002202,0.013660437055352364,50.33076822395254,0.5517241379310345,1.0517241379310345,0.014410436097091785,0.05490300483801569
002204,0.004432488697240253,56.96680203930293,0.7413793103448276,1.2413793103448276,0.0055190309259886645,0.2451314155465103
002215,0.001228921918435315,69.17089265850946,0.9612068965517241,1.4612068965517242,0.0018011367659626788,0.46562343704953824
002237,0.0031961523173998385,47.65458275862069,0.4396551724137931,0.9396551724137931,0.0030123585615279788,-0.057504692398821944
002240,0.004432488697240253,31.49709770114942,0.09913793103448276,0.5991379310344828,0.0026636989538625843,-0.39905115707998284
002246,0.004432488697240253,25.343649425287357,0.034482758620689655,0.5344827586206897,0.002376249426467342,-0.4639017516396968
002293,0.004432488697240253,44.72470183908046,0.31896551724137934,0.8189655172413793,0.003641027347006411,-0.1785591355769549
002318,0.0012094852192177145,61.01708850574713,0.8405172413793104,1.3405172413793105,0.0016262363243058986,0.3445689938714054
002380,0.0007701348386765093,62.961864597701144,0.8793103448275862,1.3793103448275863,0.0010654656464921838,0.3834793506072338
