code,latest_date,price,eps,bvps,roe,net_profit,total_shares,shareholders_equity,pe_ttm,pb,total_mv,dividend_yield
002039,2026-01-08,17.97,0.5103999972343445,5.0258002281188965,2.940999984741211,,172611440.0,2228515.5,35.20768044156018,3.5755499988756974,31.018275768,0
600502,2026-01-08,4.7,0.7799999713897705,3.572499990463257,0.7080000042915344,,18409682944.0,12444190720.0,6.025641246660229,1.3156053219164703,865.2550983680001,0
300193,2026-01-08,9.08,0.5400000214576721,1.0535000562667847,0.47999998927116394,,1494012160.0,209794176.0,16.814814146654133,8.61888895590207,135.656304128,0
600519,2026-01-08,1412.3,68.63999938964844,145.5084991455078,73.60600280761719,,59295821824.0,54343286784.0,20.57546638342465,9.705962251646254,837434.891620352,0
301186,2026-01-08,47.75,1.309999942779541,6.803500175476074,1.2489999532699585,,856681920.0,310320960.0,36.450383271532566,7.018446206868614,409.0656168,0
600545,2026-01-08,2.64,-0.07090000063180923,0.04650000110268593,-0.032999999821186066,,302648000.0,1162573056.0,,56.77419220206231,7.9899072,0
301338,2026-01-08,90.35,0.6600000262260437,3.2795000076293945,-0.7630000114440918,,856270464.0,468174720.0,136.8939339542632,27.54993132788861,773.640364224,0
688373,2026-01-08,6.57,-0.6700000166893005,-2.752700090408325,-0.6819999814033508,,386262624.0,52936424.0,,,25.377454396800005,0
300394,2026-01-08,195.25,2.4256999492645264,3.739799976348877,2.2790000438690186,,1978488192.0,350132320.0,80.49223073084531,52.208674590832075,3862.99819488,0
603856,2026-01-08,12.73,0.6600000262260437,4.935400009155273,0.36800000071525574,,365381312.0,304320224.0,19.287878021447376,2.5793248726315143,46.5130410176,0
603629,2026-01-08,28.28,0.10000000149011612,1.1999000310897827,0.2879999876022339,,369470336.0,378954304.0,282.7999957859517,23.568630108556057,104.4862110208,0
002204,2026-01-08,7.86,0.2590999901294708,1.521299958229065,0.30000001192092896,,2656522752.0,6054325248.0,30.33577884766573,5.1666339419017495,208.80268830720001,0
300684,2026-01-08,48.92,0.6761000156402588,1.524899959564209,0.8009999990463257,,338384416.0,159410176.0,72.35615865749291,32.080793033780736,165.53765630720002,0
688288,2026-01-08,27.99,-0.029999999329447746,-0.4666999876499176,-0.1899999976158142,,110150520.0,73566408.0,,,30.831130547999997,0
600600,2026-01-08,61.9,3.190999984741211,16.090499877929688,3.7790000438690186,,17978773504.0,3576387584.0,19.39830783327944,3.84699048939457,11128.860798975998,0
601801,2026-01-08,6.71,0.36000001430511475,2.920599937438965,0.609000027179718,,11495080960.0,1524388864.0,18.638888148246018,2.2974731711745187,771.319932416,0
601089,2026-01-08,27.52,1.0399999618530273,2.8652000427246094,1.4390000104904175,,794067776.0,347555456.0,26.461539432141944,9.604913998894947,218.5274519552,0
601668,2026-01-08,5.19,1.1100000143051147,9.192500114440918,0.3790000081062317,,424396062720.0,772146987008.0,4.6756756154179495,0.5645906919105492,22026.155655168004,0
600273,2026-01-08,9.51,0.7400000095367432,4.46150016784668,0.7149999737739563,,816672704.0,793624704.0,12.851351185729682,2.1315700195501623,77.6655741504,0
301289,2026-01-08,61.11,0.9700000286102295,2.7304000854492188,2.2139999866485596,,749374848.0,9215583.0,62.99999814180989,22.381335367540427,457.94296961279997,0
600742,2026-01-08,9.83,0.6847000122070312,7.308199882507324,2.0910000801086426,,9029910528.0,476329376.0,14.35665229260683,1.3450644697784986,887.6402049024,0
600989,2026-01-08,20.24,0.8700000047683716,3.3986001014709473,1.2130000591278076,,2477011200.0,1575171456.0,23.264367688582585,5.955393219472903,501.34706687999994,0
600569,2026-01-08,2.36,-1.1390000581741333,-2.2857000827789307,-0.45500001311302185,,5115399680.0,7556213760.0,,,120.723432448,0
600461,2026-01-08,9.31,0.9700000286102295,3.2327001094818115,1.5369999408721924,,2853831424.0,246334496.0,9.597937861237934,2.8799454588110107,265.69170557440003,0
688067,2026-01-08,25.79,0.3400000035762787,2.56030011177063,0.33000001311302185,,53722448.0,45678064.0,75.85294037861395,10.07303787608101,13.855019339199998,0
002563,2026-01-08,5.38,0.41999998688697815,1.7603000402450562,0.4690000116825104,,6285081600.0,3481423616.0,12.809524209456121,3.0562971521894844,338.13739008,0
605060,2026-01-08,36.15,0.7799999713897705,4.195099830627441,1.2350000143051147,,773051584.0,249759824.0,46.3461555461207,8.617196600680945,279.45814761599996,0
000880,2026-01-08,30.7,0.5600000023841858,3.020400047302246,1.284000039100647,,2660819456.0,820128320.0,54.82142833802773,10.164216500864034,816.871572992,0
603368,2026-01-08,18.34,2.2100000381469727,11.325699806213379,2.1010000705718994,,3683593216.0,2642354688.0,8.298642390693175,1.6193259854846687,675.5709958144,0
600683,2026-01-08,4.4,-1.8600000143051147,-1.4424999952316284,-8.385000228881836,,4026312192.0,44740796416.0,,,177.15773644800004,0
688257,2026-01-08,39.85,1.0128999948501587,3.9131999015808105,1.1150000095367432,,411930816.0,735480640.0,39.342482182453885,10.18348180574722,164.154430176,0
601958,2026-01-08,16.71,0.9200000166893005,1.6353000402450562,1.1519999504089355,,5693158400.0,395763808.0,18.163043148773387,10.218308315760783,951.32676864,0
605088,2026-01-08,37.75,1.7400000095367432,6.432000160217285,1.725000023841858,,1259953024.0,811357184.0,21.69540217994053,5.8690918936054155,475.63226656,0
601138,2026-01-08,61.33,1.1699999570846558,4.8867998123168945,1.1990000009536743,,72433672192.0,85265719296.0,52.41880534151374,12.550135539708688,44423.5711553536,0
002110,2026-01-08,4.41,-0.5299999713897705,4.811600208282471,0.9120000004768372,,7419632640.0,3203292672.0,,0.9165350006446558,327.205799424,0
600853,2026-01-08,4.43,0.4099999964237213,1.8875000476837158,2.5969998836517334,,5669056000.0,1692402304.0,10.804878143027452,2.347019808257152,251.1391808,0
600581,2026-01-08,3.44,-1.1349999904632568,-3.188699960708618,1.0329999923706055,,1394345600.0,2042941440.0,,,47.96548864,0
002246,2026-01-08,20.03,-0.05000000074505806,1.9545999765396118,0.14499999582767487,,1383318528.0,353947584.0,,10.247621119622005,277.0787011584,0
001258,2026-01-08,7.3,0.05000000074505806,0.7505000233650208,0.38100001215934753,,253903568.0,397756.53125,145.9999978244305,9.726848464666201,18.534960463999997,0
