fold,model,train_size,test_size,rmse,ic
0,Ridge,9403,9399,10.436294524071615,0.022866740891913657
1,Ridge,18802,9399,9.09521814885933,0.07917649618165785
2,Ridge,28201,9399,9.554271583898105,0.464856840140629
3,Ridge,37600,9399,7.126329076608125,-0.0553663416667415
4,Ridge,46999,9399,7.689493922476616,0.15043359426100358
