code,weight,composite_score,percentile,multiplier,original_weight,adjusted_weight,weight_change
000027,0.0012800898909016126,38.69036909630185,0.1853448275862069,0.5,0.0012800898909016126,0.0004315787958062957,-0.6628527427067489
000088,0.005815030627042758,57.220223133227144,0.7327586206896551,1.3,0.005815030627042758,0.005097356230157672,-0.12341713103754703
000338,0.007879973743900578,57.76528591070333,0.7543103448275862,1.3,0.007879973743900578,0.00690744999177717,-0.12341713103754703
000408,0.0007904471855162078,44.235047489665455,0.3017241379310345,0.9,0.0007904471855162078,0.00047969478113752637,-0.39313493687214796
000422,0.0007787438740578077,58.90820956643065,0.7887931034482759,1.3,0.0007787438740578077,0.0006826335393085283,-0.12341713103754703
000423,0.004221690122040842,56.718627230810995,0.7155172413793104,1.3,0.004221690122040842,0.00370066123904901,-0.12341713103754692
000498,0.0003831198236200038,55.1170023572905,0.6853448275862069,1.1,0.0003831198236200038,0.00033714725729325115,-0.11999526908414537
000581,0.005306182982784852,51.83427203065134,0.5258620689655172,1.0,0.005306182982784852,0.0035779300786840705,-0.32570548541349775
000598,0.001935173855069419,47.364386973180075,0.375,0.9,0.001935173855069419,0.0011743894037200718,-0.39313493687214796
000651,0.010612365965569704,63.67568965517241,0.9051724137931034,2.0,0.010612365965569704,0.014311720314736282,0.3485890291730045
000672,0.0031848357570771315,45.0258429118774,0.31896551724137934,0.9,0.0031848357570771315,0.001932765552770454,-0.39313493687214796
000690,0.007082417258777771,52.64685823754789,0.5818965517241379,1.0,0.007082417258777771,0.004775635107606623,-0.32570548541349775
000719,0.011355355222801213,51.90367816091954,0.5344827586206896,1.0,0.011355355222801213,0.007656853737916047,-0.32570548541349775
000726,0.004775564684506347,47.29818007662835,0.3706896551724138,0.9,0.004775564684506347,0.002898123363734085,-0.39313493687214807
000800,0.0006648032150196067,36.275747126436784,0.15086206896551724,0.5,0.0006648032150196067,0.00033714725729325115,-0.49286157215213244
000880,0.0010363638638251102,39.572088122605365,0.19827586206896552,0.5,0.0010363638638251102,0.0003494072342464723,-0.6628527427067489
000913,0.010825303970986607,66.54657088122606,0.9698275862068966,2.5,0.010825303970986607,0.018248607715919372,0.6857362864662555
000915,0.014595159961972944,59.28268199233717,0.8017241379310345,1.6,0.014595159961972944,0.01574629808299344,0.07887122333840368
000921,0.007352074572199173,64.60078544061302,0.9353448275862069,2.0,0.007352074572199173,0.009914927109729615,0.3485890291730045
000923,0.001314153060748813,39.464099616858235,0.1939655172413793,0.5,0.001314153060748813,0.00044306310009499354,-0.6628527427067489
000933,0.006898037877620268,61.890881226053644,0.8491379310344828,1.6,0.006898037877620268,0.007442094563662824,0.07887122333840346
000951,0.004088346937248041,54.84231800766283,0.6681034482758621,1.1,0.004088346937248041,0.0030324249048641694,-0.25827603395484744
