code,dividend_yield
600694,0.11043621935919828
002128,0.05195246045376632
600853,0.016930023229397538
002171,0.01568068454648571
300635,0.0006188118870311387
600057,0.07793764845415571
603699,0.049146500328410295
601958,0.04787552626160104
000719,0.08415841663623486
000880,0.016286644546393364
688372,0.005820105741792093
002039,0.025041737183906308
600027,0.08964143460354078
600582,0.10118643904239139
300684,0.018192968792157007
300473,0.0
600160,0.013705851840330076
603387,0.043683587760947294
688609,0.0
688030,0.0
002293,0.12539185352837584
300138,0.0199081157462651
002377,0.0
002420,0.0
002612,0.04210004841585678
603367,0.05773195780692375
688298,0.0
688499,0.0
000531,0.03609022504634104
002793,0.0
600378,0.018474423177838047
002004,0.08624230182128301
002380,0.0013531799973841706
603296,0.02208201928175066
600362,0.03089224128130575
600661,0.0
600690,0.07793070193713446
603611,0.06352990421137157
301097,0.01857563119460305
600894,0.20306122053766792
688677,0.025175131180323107
601900,0.08232628541110207
301349,0.006235709752525978
002658,0.05978260993506826
300464,0.0
603444,0.05030382743707427
002993,0.059682621889135076
000672,0.07990690244888612
601778,0.00946471988718335
688636,0.007199836457239341
601728,0.08455413730252166
688595,0.0
000933,0.05460750995434211
002768,0.008542247224409188
603660,0.0
002029,0.017241379001078493
002117,0.043046357887762954
300219,0.02913279087615402
603027,0.10869565340308601
600350,0.08860759921533123
600583,0.06031195860491496
300373,0.023887387405956022
605287,0.004166666777045642
301200,0.003116478231231215
603096,0.09593679829991938
688429,0.0032656023854869313
601919,0.15768193907949096
002480,0.0
603856,0.031893166897056804
002867,0.15264026546768086
688067,0.009848778246730291
002237,0.019884581968616005
600020,0.07505882352941176
300619,0.00578267327460698
300146,0.10302535136232732
002404,0.08720930087495458
002545,0.028409089780215106
002215,0.045913680829824485
000915,0.14997000531242932
002110,0.0
605060,0.019363761285013693
300644,0.013495276931068265
301280,0.04384216792786832
600867,0.059171598968767676
603629,0.007779349174623227
301031,0.012775643066209598
002788,0.023644962001160508
601668,0.10461464239188867
600269,0.06370656581775228
688369,0.00477765543454885
002303,0.18845208050369935
603886,0.14705881940452298
600873,0.10018921755976243
600549,0.022917141486603412
601339,0.12074829696963503
688280,0.0
600566,0.129785600730459
600461,0.09717829852012494
002056,0.0609063844430409
603167,0.21911921676196752
600082,0.0013986014110378578
